policy,success,total_reward,turn,ask_count,recommend_count,failure_reason
random,1,1.06,7,6,1,
random,1,0.66,9,6,3,
random,0,-1.95,11,5,5,max_turn
random,1,0.85,7,5,2,
random,1,1.06,7,6,1,
random,1,0.66,9,6,3,
random,0,-1.74,11,6,4,max_turn
random,1,0.8500000000000001,7,5,2,
random,1,0.66,9,6,3,
random,1,0.65,8,5,3,
random,1,0.66,9,6,3,
random,0,-1.74,11,6,4,max_turn
random,1,1.06,7,6,1,
random,1,0.86,8,6,2,
random,1,0.85,7,5,2,
random,1,0.45999999999999996,10,6,4,
random,1,0.8600000000000001,8,6,2,
random,0,-1.74,11,6,4,max_turn
random,1,0.66,9,6,3,
random,1,1.06,7,6,1,
random,1,0.86,8,6,2,
random,1,0.84,6,4,2,
random,1,0.85,7,5,2,
random,1,1.06,7,6,1,
random,1,0.84,6,4,2,
random,1,1.06,7,6,1,
random,1,0.8400000000000001,6,4,2,
random,1,1.05,6,5,1,
random,1,0.85,7,5,2,
random,1,0.8500000000000001,7,5,2,
random,1,0.45999999999999996,10,6,4,
random,1,1.05,6,5,1,
random,1,0.45999999999999996,10,6,4,
random,1,1.06,7,6,1,
random,1,0.85,7,5,2,
random,1,0.8500000000000001,7,5,2,
random,1,1.02,3,2,1,
random,1,1.06,7,6,1,
random,1,0.86,8,6,2,
random,1,0.66,9,6,3,
random,1,0.44999999999999996,9,5,4,
random,1,0.65,8,5,3,
random,0,-1.74,11,6,4,max_turn
random,1,1.05,6,5,1,
random,1,0.62,5,2,3,
random,1,0.66,9,6,3,
random,1,0.66,9,6,3,
random,1,0.66,9,6,3,
random,1,0.8500000000000001,7,5,2,
random,1,0.66,9,6,3,
random,1,0.86,8,6,2,
random,1,1.04,5,4,1,
random,1,0.66,9,6,3,
random,1,1.06,7,6,1,
random,1,0.8600000000000001,8,6,2,
random,1,0.8600000000000001,8,6,2,
random,1,1.05,6,5,1,
random,1,1.06,7,6,1,
random,1,1.05,6,5,1,
random,1,0.8600000000000001,8,6,2,
random,1,0.66,9,6,3,
random,1,1.04,5,4,1,
random,1,0.8300000000000001,5,3,2,
random,0,-1.74,11,6,4,max_turn
random,1,0.85,7,5,2,
random,0,-1.74,11,6,4,max_turn
random,1,1.06,7,6,1,
random,1,0.86,8,6,2,
random,1,1.04,5,4,1,
random,1,0.85,7,5,2,
random,1,1.06,7,6,1,
random,1,0.42999999999999994,7,3,4,
random,1,0.25,10,5,5,
random,1,0.84,6,4,2,
random,1,1.06,7,6,1,
random,1,0.86,8,6,2,
random,0,-1.74,11,6,4,max_turn
random,1,0.65,8,5,3,
random,0,-1.95,11,5,5,max_turn
random,0,-1.74,11,6,4,max_turn
random,1,0.45999999999999996,10,6,4,
random,0,-1.95,11,5,5,max_turn
random,1,1.06,7,6,1,
random,1,0.86,8,6,2,
random,1,1.06,7,6,1,
random,1,0.8400000000000001,6,4,2,
random,1,0.66,9,6,3,
random,1,1.01,2,1,1,
random,1,0.64,7,4,3,
random,1,0.85,7,5,2,
random,1,1.04,5,4,1,
random,1,0.65,8,5,3,
random,1,1.03,4,3,1,
random,0,-1.74,11,6,4,max_turn
random,0,-1.74,11,6,4,max_turn
random,1,0.8500000000000001,7,5,2,
random,1,0.84,6,4,2,
random,0,-1.95,11,5,5,max_turn
random,1,0.8600000000000001,8,6,2,
random,1,0.85,7,5,2,
random,1,0.45999999999999996,10,6,4,
random,1,0.44999999999999996,9,5,4,
random,1,1.06,7,6,1,
random,1,0.8600000000000001,8,6,2,
random,1,1.05,6,5,1,
random,1,1.06,7,6,1,
random,1,0.8300000000000001,5,3,2,
random,1,0.66,9,6,3,
random,0,-1.95,11,5,5,max_turn
random,1,1.02,3,2,1,
random,1,1.04,5,4,1,
random,1,1.06,7,6,1,
random,1,0.66,9,6,3,
random,1,0.45999999999999996,10,6,4,
random,1,1.06,7,6,1,
random,1,0.44999999999999996,9,5,4,
random,1,0.44999999999999996,9,5,4,
random,1,0.86,8,6,2,
random,0,-1.74,11,6,4,max_turn
random,1,1.05,6,5,1,
random,1,1.05,6,5,1,
random,1,0.45999999999999996,10,6,4,
random,1,1.04,5,4,1,
random,0,-1.74,11,6,4,max_turn
random,1,0.85,7,5,2,
random,1,0.86,8,6,2,
random,1,0.25,10,5,5,
random,1,1.06,7,6,1,
random,1,0.85,7,5,2,
random,1,1.05,6,5,1,
random,1,0.8500000000000001,7,5,2,
random,1,0.45999999999999996,10,6,4,
random,1,1.04,5,4,1,
random,1,0.8600000000000001,8,6,2,
random,1,1.06,7,6,1,
random,1,0.65,8,5,3,
random,1,1.05,6,5,1,
random,1,0.44999999999999996,9,5,4,
random,0,-1.74,11,6,4,max_turn
random,1,1.06,7,6,1,
random,1,1.05,6,5,1,
random,1,0.8500000000000001,7,5,2,
random,1,0.65,8,5,3,
random,1,0.45999999999999996,10,6,4,
random,1,0.85,7,5,2,
random,1,1.05,6,5,1,
random,1,0.45999999999999996,10,6,4,
random,1,0.45999999999999996,10,6,4,
random,1,0.44999999999999996,9,5,4,
random,0,-1.74,11,6,4,max_turn
random,1,1.05,6,5,1,
random,1,0.8600000000000001,8,6,2,
random,0,-1.95,11,5,5,max_turn
random,0,-1.95,11,5,5,max_turn
random,1,0.85,7,5,2,
random,1,0.65,8,5,3,
random,1,1.06,7,6,1,
random,1,1.06,7,6,1,
random,0,-1.74,11,6,4,max_turn
random,1,0.45999999999999996,10,6,4,
random,1,0.66,9,6,3,
random,1,0.66,9,6,3,
random,1,0.8400000000000001,6,4,2,
random,1,0.85,7,5,2,
random,0,-1.74,11,6,4,max_turn
random,0,-1.74,11,6,4,max_turn
random,1,0.64,7,4,3,
random,0,-1.74,11,6,4,max_turn
random,1,0.45999999999999996,10,6,4,
random,1,1.05,6,5,1,
random,1,0.66,9,6,3,
random,1,0.6599999999999999,9,6,3,
random,1,1.05,6,5,1,
random,1,1.06,7,6,1,
random,1,0.44999999999999996,9,5,4,
random,1,0.8400000000000001,6,4,2,
random,1,1.05,6,5,1,
random,0,-1.74,11,6,4,max_turn
random,1,0.6599999999999999,9,6,3,
random,1,0.45999999999999996,10,6,4,
random,1,0.6499999999999999,8,5,3,
random,1,0.8600000000000001,8,6,2,
random,0,-1.95,11,5,5,max_turn
random,1,0.65,8,5,3,
random,1,0.8600000000000001,8,6,2,
random,1,0.6599999999999999,9,6,3,
