episode,reward,success,turn
1,1.06,1,7
2,1.05,1,6
3,1.06,1,7
4,1.06,1,7
5,1.04,1,5
6,0.86,1,8
7,-2.16,0,11
8,1.05,1,6
9,0.84,1,6
10,0.8400000000000001,1,6
11,-1.95,0,11
12,0.45999999999999996,1,10
13,0.8600000000000001,1,8
14,0.45999999999999996,1,10
15,1.06,1,7
16,-1.74,0,11
17,0.25,1,10
18,-1.74,0,11
19,-1.74,0,11
20,0.8200000000000001,1,4
21,0.66,1,9
22,1.06,1,7
23,1.04,1,5
24,1.06,1,7
25,1.06,1,7
26,0.8500000000000001,1,7
27,0.64,1,7
28,0.8400000000000001,1,6
29,0.43999999999999995,1,8
30,1.04,1,5
31,-1.74,0,11
32,1.03,1,4
33,0.45999999999999996,1,10
34,0.8600000000000001,1,8
35,0.65,1,8
36,1.05,1,6
37,0.44999999999999996,1,9
38,0.45999999999999996,1,10
39,0.8400000000000001,1,6
40,0.44999999999999996,1,9
41,0.8600000000000001,1,8
42,1.04,1,5
43,-1.74,0,11
44,1.06,1,7
45,-1.74,0,11
46,0.66,1,9
47,0.8500000000000001,1,7
48,0.8600000000000001,1,8
49,0.86,1,8
50,0.65,1,8
51,0.86,1,8
52,0.66,1,9
53,1.05,1,6
54,0.85,1,7
55,0.040000000000000036,1,10
56,0.86,1,8
57,0.8300000000000001,1,5
58,0.85,1,7
59,0.66,1,9
60,-1.74,0,11
61,0.45999999999999996,1,10
62,0.65,1,8
63,0.63,1,6
64,0.81,1,3
65,0.45999999999999996,1,10
66,-1.74,0,11
67,0.44999999999999996,1,9
68,1.06,1,7
69,-1.95,0,11
70,0.8200000000000001,1,4
71,0.8500000000000001,1,7
72,0.8500000000000001,1,7
73,-1.95,0,11
74,0.66,1,9
75,0.8500000000000001,1,7
76,0.65,1,8
77,0.84,1,6
78,-1.95,0,11
79,0.86,1,8
80,0.63,1,6
81,0.44999999999999996,1,9
82,1.06,1,7
83,-1.74,0,11
84,-1.74,0,11
85,0.8600000000000001,1,8
86,0.8400000000000001,1,6
87,0.8600000000000001,1,8
88,0.64,1,7
89,0.8400000000000001,1,6
90,0.64,1,7
